,Group Breakfast,,,,Group Lunch,,,,Group Dinner,,
,Position,Frisb's Suicide Hotline,,,Position,Kaipi,,,Position,Pizzadog.,
,1,Fierysnake,https://www.dotabuff.com/players/40436072,,1,BigWillyDota,https://www.dotabuff.com/players/127128208,,1,Skyward,https://www.dotabuff.com/players/135178273
,2,Ploopy07,https://www.dotabuff.com/players/755425273,,2,R3N,https://www.dotabuff.com/players/1013380658,,2,SkyKing,https://www.dotabuff.com/players/223447577
,3,frisb,https://www.dotabuff.com/players/86788706,,3,tia,https://www.dotabuff.com/players/68193916,,3,Dossia,https://www.dotabuff.com/players/298941156
,4,minas,https://www.dotabuff.com/players/54939474,,4,Phase,https://www.dotabuff.com/players/63746063,,4,ET,https://www.dotabuff.com/players/126188066
,5,stella/nooyin,https://www.dotabuff.com/players/54432298,,5,Pyrosmog,https://www.dotabuff.com/players/158377840,,5,"Xeri ""The Shadow Dragon"" Scapé",https://www.dotabuff.com/players/289144672
,,,,,,,,,,,
,Position,Hooping for hope,,,Position,TBD,,,Position,Happy Birthday Hatsune Miku,
,1,Kinkstur,https://www.dotabuff.com/players/903287846,,1,Legacy,https://www.dotabuff.com/players/338100783,,1,Ryoma,https://www.dotabuff.com/players/100106448
,2,Munkush,https://www.dotabuff.com/players/836258961,,2,Roho,https://www.dotabuff.com/players/79134733,,2,Festival,https://www.dotabuff.com/players/93456258
,3,Assassin,https://www.dotabuff.com/players/180884230,,3,Breaker,https://www.dotabuff.com/players/325413236,,3,Chrohny,https://www.dotabuff.com/players/332122164
,4,prof aka reaper,https://www.dotabuff.com/players/897940001,,4,Maestro,https://www.dotabuff.com/players/90824570,,4,FlameTurtle,https://www.dotabuff.com/players/90587163
,5,ftb,https://www.dotabuff.com/players/50501785,,5,Icicle,https://www.dotabuff.com/players/69885361,,5,chem,https://www.dotabuff.com/players/80639558
,,,,,,,,,,,
,Position,Toxic Tacos,,,Position,Penjamin City,,,Position,Adam Silver Victims ,
,1,Tint,https://www.dotabuff.com/players/62681700,,1,Journey,https://www.dotabuff.com/players/89222641,,1,SR1,https://www.dotabuff.com/players/94692091
,2,MxGuire,https://www.dotabuff.com/players/173836647,,2,ColonelSquid,https://www.dotabuff.com/players/221883921,,2,Rook,https://www.dotabuff.com/players/79192770
,3,ApeGodSnow,https://www.dotabuff.com/players/107944284,,3,HullCity07,https://www.dotabuff.com/players/176954683,,3,Fatalness,https://www.dotabuff.com/players/109852891
,4,Artorius,https://www.dotabuff.com/players/99623012,,4,Raptor458,https://www.dotabuff.com/players/136878643,,4,Cuh,https://www.dotabuff.com/players/119377295
,5,ANURA,https://www.dotabuff.com/players/126042590,,5,BullJaXX,https://www.dotabuff.com/players/90082776,,5,Mipz,https://www.dotabuff.com/players/300964384
,,,,,,,,,,,
,Position,Sine Pari,,,Position,Pure Instinct,,,Position,Hot Boy Summer,
,1,Yfu,https://www.dotabuff.com/players/91703580,,1,Fume,https://www.dotabuff.com/players/19744,,1,Bloom,https://www.dotabuff.com/players/160527310
,2,Skater_x7,https://www.dotabuff.com/players/89687880,,2,meepoman1,https://www.dotabuff.com/players/138814035,,2,Zewqew,https://www.dotabuff.com/players/79089948
,3,Ｋ－ＳＴＩＧＳ,https://www.dotabuff.com/players/16460913,,3,Hobbes,https://www.dotabuff.com/players/52023367,,3,Jazz,https://www.dotabuff.com/players/240512773
,4,Spooky bush,https://www.dotabuff.com/players/54820204,,4,Plupo,https://www.dotabuff.com/players/81036058,,4,Yax,https://www.dotabuff.com/players/102002837
,5,Chiefdoggy,https://www.dotabuff.com/players/156323286,,5,Miyushi,https://www.dotabuff.com/players/117329309,,5,Beach Jeans,https://www.dotabuff.com/players/87336063
,,,,,,,,,,,
,Position,GRIM Sports,,,Position,Monkey Militia,,,Position,chen yuan,
,1,Pixie.WT,https://www.dotabuff.com/players/148028614,,1,Snlork,https://www.dotabuff.com/players/360577618,,1,damir,https://www.dotabuff.com/players/383002067
,2,Pearcat,https://www.dotabuff.com/players/188649776,,2,camelfarmer,https://www.dotabuff.com/players/120314918,,2,skkip,https://www.dotabuff.com/players/76550387
,3,Moozy,https://www.dotabuff.com/players/399373499,,3,Tokamak,https://www.dotabuff.com/players/33153117,,3,diskhat,https://www.dotabuff.com/players/84447080
,4,GRIN.Bry-Guy,https://www.dotabuff.com/players/368847577,,4,knivesinmycoffee,https://www.dotabuff.com/players/238806231,,4,snow,https://www.dotabuff.com/players/84157389
,5,Chaknee,https://www.dotabuff.com/players/198995867,,5,Yami,https://www.dotabuff.com/players/110343762,,5,AllRoundGoodGuy,https://www.dotabuff.com/players/167829403
,,,,,,,,,,,
,Position,Dads of Lads,,,Position,5 Freaks No Creeps,,,Position,DinoMight,
,1,redground,https://www.dotabuff.com/players/362793631,,1,Yuzu,https://www.dotabuff.com/players/107921141,,1,Pogwee,https://www.dotabuff.com/players/294384205
,2,Happyhobo,https://www.dotabuff.com/players/260316741,,2,AngrySun,https://www.dotabuff.com/players/117711668,,2,Hosterino,https://www.dotabuff.com/players/121069785
,3,Slowz,https://www.dotabuff.com/players/170288961,,3,Toast,https://www.dotabuff.com/players/299447943,,3,Shib,https://www.dotabuff.com/players/114189492
,4,Ratman,https://www.dotabuff.com/players/171871486,,4,Nephilim Elohim,https://www.dotabuff.com/players/285975878,,4,Gisbang,https://www.dotabuff.com/players/194620763
,5,ruN,https://www.dotabuff.com/players/95813278,,5,Drewarosa,https://www.dotabuff.com/players/96830510,,5,C0re,https://www.dotabuff.com/players/91095810
,,,,,,,,,,,
,Position,Blyatgang,,,Position,Solar Gravity Night,,,Position,Sneed's Feed and Seed,
,1,Msr Taha,https://www.dotabuff.com/players/333969080,,1,Mecha,https://www.dotabuff.com/players/82431846,,1,Neff,https://www.dotabuff.com/players/117935373
,2,Keshi,https://www.dotabuff.com/players/198514853,,2,SGhosthammer,https://www.dotabuff.com/players/256159875,,2,TreeHard,https://www.dotabuff.com/players/129050083
,3,Cybrek,https://www.dotabuff.com/players/414220685,,3,Thumper,https://www.dotabuff.com/players/101752409,,3,Doss,https://www.dotabuff.com/players/115827611
,4,Lonewolf,https://www.dotabuff.com/players/907912046,,4,Detective Diglett,https://www.dotabuff.com/players/198549023,,4,tianyi,https://www.dotabuff.com/players/182538520
,5,MrRip,https://www.dotabuff.com/players/32978965,,5,KrXwN,https://www.dotabuff.com/players/429097286,,5,mobyte,https://www.dotabuff.com/players/121839188
